kodi_institucioni,emertimi,real_nipt,nipt_source
INST-0216,Drejtoria Rajonale e Arsimit Parauniversitar Tirane,,unknown - not seen in KPP
INST-0217,Drejtoria Rajonale e Autoritetit Kombetar te Ushqimit  Fier,,unknown - not seen in KPP
INST-0218,Drejtoria Rajonale e Autoritetit Kombetar te Ushqimit  Vlore,,unknown - not seen in KPP
INST-0219,Drejtoria Rajonale e Autoritetit Kombetar te Ushqimit Berat,,unknown - not seen in KPP
INST-0220,Drejtoria Rajonale e Autoritetit Kombetar te Ushqimit Durres,,unknown - not seen in KPP
INST-0221,Drejtoria Rajonale e Autoritetit Kombetar te Ushqimit Elbasan,,unknown - not seen in KPP
INST-0222,Drejtoria Rajonale e Autoritetit Kombetar te Ushqimit Gjirokaster,,unknown - not seen in KPP
INST-0223,Drejtoria Rajonale e Autoritetit Kombetar te Ushqimit Korce,,unknown - not seen in KPP
INST-0224,Drejtoria Rajonale e Autoritetit Kombetar te Ushqimit Kukes,,unknown - not seen in KPP
INST-0225,Drejtoria Rajonale e Autoritetit Kombetar te Ushqimit Shkoder,,unknown - not seen in KPP
INST-0226,Drejtoria Rajonale e Autoritetit Kombetar te Ushqimit Tirane,,unknown - not seen in KPP
INST-0227,Drejtoria Rajonale e Fondit te Sigurimeve te Detyrueshem te Kujdesit Shendetesor Fier,,unknown - not seen in KPP
INST-0228,Drejtoria Rajonale e Fondit te Sigurimit te Detyrueshem te Kujdesit Shendetesor Lezhe,,unknown - not seen in KPP
INST-0229,Drejtoria Rajonale e Fondit te Sigurimit te Detyrueshem te Kujdesit Shendetesor Pogradec,,unknown - not seen in KPP
INST-0230,Drejtoria Rajonale e Kufirit dhe Migracionit Durres,,unknown - not seen in KPP
INST-0231,Drejtoria Rajonale e Kufirit dhe Migracionit Gjirokaster,,unknown - not seen in KPP
INST-0232,Drejtoria Rajonale e Kufirit dhe Migracionit Kukes,,unknown - not seen in KPP
INST-0233,Drejtoria Rajonale e Kufirit dhe Migracionit Tirane,,unknown - not seen in KPP
INST-0234,Drejtoria Rajonale e OSSH Berat,,unknown - not seen in KPP
INST-0235,Drejtoria Rajonale e OSSH Burrel,,unknown - not seen in KPP
INST-0236,Drejtoria Rajonale e OSSH Durres,,unknown - not seen in KPP
INST-0237,Drejtoria Rajonale e OSSH Elbasan,,unknown - not seen in KPP
INST-0238,Drejtoria Rajonale e OSSH Fier,,unknown - not seen in KPP
INST-0239,Drejtoria Rajonale e OSSH Gjirokaster,,unknown - not seen in KPP
INST-0240,Drejtoria Rajonale e OSSH Korce,,unknown - not seen in KPP
INST-0241,Drejtoria Rajonale e OSSH Kukes,,unknown - not seen in KPP
INST-0242,Drejtoria Rajonale e OSSH Shkoder,,unknown - not seen in KPP
INST-0243,Drejtoria Rajonale e OSSH Tirane,,unknown - not seen in KPP
INST-0244,Drejtoria Rajonale e OSSH Vlore,,unknown - not seen in KPP
INST-0245,Drejtoria Rajonale e Operatorit te Sherbimeve te Kujdesit Shendetesor Elbasan,,unknown - not seen in KPP
INST-0246,Drejtoria Rajonale e Operatorit te Sherbimeve te Kujdesit Shendetesor Shkoder,L96419131C,kpp_appeal.ak_nipt (name-matched)
INST-0247,Drejtoria Rajonale e Operatorit te Sherbimeve te Kujdesit Shendetesor Tirane,,unknown - not seen in KPP
INST-0248,Drejtoria Rajonale e Operatorit te Sherbimeve te Kujdesit Shendetesor Vlore,,unknown - not seen in KPP
INST-0249,Drejtoria Rajonale e Q.L.F.P.P.per Zonen Verilindore,,unknown - not seen in KPP
INST-0250,Drejtoria Rajonale e Shendetesise Kukes,,unknown - not seen in KPP
INST-0251,Drejtoria Rajonale e Sherbimit Kombetar te Punesimit Korce,,unknown - not seen in KPP
INST-0252,Drejtoria Rajonale e Sherbimit Kombetar te Punesimit Lezhe,,unknown - not seen in KPP
INST-0253,Drejtoria Rajonale e Sherbimit Social Shteteror Diber,,unknown - not seen in KPP
INST-0254,Drejtoria Rajonale e Sherbimit Veterinar dhe Mbrojtjes se Bimeve Tirane,,unknown - not seen in KPP
INST-0255,Drejtoria Rajonale e Sherbimit Veterinar dhe Mbrojtjes se Bimeve Vlore,,unknown - not seen in KPP
INST-0256,Drejtoria Rajonale e Sherbimit te Transportit Rrugor Berat,,unknown - not seen in KPP
