kodi_institucioni,emertimi,real_nipt,nipt_source
INST-0927,Sh.A Posta Shqiptare Filiali Tirane,,unknown - not seen in KPP
INST-0928,Sh.A Ujesjelles Kanalizime Vore,,unknown - not seen in KPP
INST-0929,Sherbimi Gjeologjik Shqiptar,J61826126J,kpp_appeal.ak_nipt (name-matched)
INST-0930,Sherbimi Informativ i Shtetit Drejtoria Vlore,,unknown - not seen in KPP
INST-0931,Sherbimi Social Shteteror,,unknown - not seen in KPP
INST-0932,Sherbimi i Proves,,unknown - not seen in KPP
INST-0933,Shkolla Koreografike Tiranë,,unknown - not seen in KPP
INST-0934,Shkolla Luigj Gurakuqi Tirane,,unknown - not seen in KPP
INST-0935,Shkolla Mekanike Bujqesore “Hasan D Gina” Lushnje,,unknown - not seen in KPP
INST-0936,Shkolla Profesionale Sherbime Korce,,unknown - not seen in KPP
INST-0937,Shkolla Profesionale Teknike Korce,,unknown - not seen in KPP
INST-0938,Shkolla Profesionale “Shën Jozefi Punëtor” Rrëshen,,unknown - not seen in KPP
INST-0939,Shkolla Teknike Ekonomike Tirane,,unknown - not seen in KPP
INST-0940,Shkolla e Magjistratures,K51717011A,kpp_appeal.ak_nipt (name-matched)
INST-0941,Shkolla e Mesme Hoteleri Turizem Tirane,,unknown - not seen in KPP
INST-0942,Shkolla e Mesme Kristo Isak Berat,,unknown - not seen in KPP
INST-0943,Shkolla e Mesme Mihal Shahini Cerrik,,unknown - not seen in KPP
INST-0944,Shkolla e Mesme Profesionale Antoni Athanas Sarande,,unknown - not seen in KPP
INST-0945,Shkolla e Mesme Profesionale Beqir Cela Durres,,unknown - not seen in KPP
INST-0946,Shkolla e Mesme Profesionale Charles Telford Erikson Kavaje,,unknown - not seen in KPP
INST-0947,Shkolla e Mesme Profesionale Kamez,,unknown - not seen in KPP
INST-0948,Shkolla e Mesme Profesionale Kolin Gjoka,,unknown - not seen in KPP
INST-0949,Shkolla e Mesme Profesionale Nazmi Rushiti Peshkopi,,unknown - not seen in KPP
INST-0950,Shkolla e Mesme Profesionale Ndre Mjeda Bushat,,unknown - not seen in KPP
INST-0951,Shkolla e Mesme Profesionale Petro Sota Fier,,unknown - not seen in KPP
INST-0952,Shkolla e Mesme Profesionale Stiliano Bandilli Berat,,unknown - not seen in KPP
INST-0953,Shkolla e Mesme Profesionale Thoma Papapano Gjirokaster,,unknown - not seen in KPP
INST-0954,Shkolla e Mesme Profesionale e Teknologjise Hamdi Bushati Shkoder,,unknown - not seen in KPP
INST-0955,Shkolla e Mesme Teknologjike Hysen Çela Durres,,unknown - not seen in KPP
INST-0956,Shkolla e Mesme e Ndertimit Karl Gega Tirane,,unknown - not seen in KPP
INST-0957,Shoqeria Rajonale Ujesjelles Kanalizime Vlore Sh.A,,unknown - not seen in KPP
INST-0958,Shoqeria Rajonale Ujesjelles-Kanalizime Qarku Shkoder SH.A,,unknown - not seen in KPP
INST-0959,Shoqëria Rajonale Ujësjellës Kanalizime Berat SH.A,M23511002O,kpp_appeal.ak_nipt (name-matched)
INST-0960,Shoqëria Rajonale Ujësjellës Kanalizime Dibër SH.A,M27109701L,kpp_appeal.ak_nipt (name-matched)
INST-0961,Shoqëria Rajonale Ujësjellës Kanalizime Durrës Sh.A,,unknown - not seen in KPP
INST-0962,Shoqëria Rajonale Ujësjellës Kanalizime Elbasan SH.A,M23322201V,kpp_appeal.ak_nipt (name-matched)
INST-0963,Shoqëria Rajonale Ujësjellës Kanalizime Fier SH.A,,unknown - not seen in KPP
INST-0964,Shoqëria Rajonale Ujësjellës Kanalizime Gjirokastër SH.A,,unknown - not seen in KPP
INST-0965,Shoqëria Rajonale Ujësjellës Kanalizime Korçë SH.A,M24431001N,kpp_appeal.ak_nipt (name-matched)
INST-0966,Shoqëria Rajonale Ujësjellës Kanalizime Kukës SH.A,M28322201I,kpp_appeal.ak_nipt (name-matched)
INST-0967,Shoqëria Rajonale Ujësjellës Kanalizime Lezhë SH.A,M28314503C,kpp_appeal.ak_nipt (name-matched)
INST-0968,Shoqëria Rajonale Ujësjellës Kanalizime Lushnje SH.A,,unknown - not seen in KPP
INST-0969,Shoqëria Rajonale Ujësjellës Kanalizime Pogradec Sh.A,M24416601U,kpp_appeal.ak_nipt (name-matched)
INST-0970,Shoqëria Rajonale Ujësjellës Kanalizime Sarandë SH.A,M24828802U,kpp_appeal.ak_nipt (name-matched)
INST-0971,Shtepia Qendrore e Forcave te Armatosura,,unknown - not seen in KPP
INST-0972,Shtepia e Femijes per Grupmoshen 16-18 vjeç Shkoder,,unknown - not seen in KPP
INST-0973,Shtepia e Femijeve 6 - 14 vjec Shkoder,K56705032S,kpp_appeal.ak_nipt (name-matched)
INST-0974,Shtepia e Femijeve Shkollore Tirane,,unknown - not seen in KPP
INST-0975,Shtepia e Foshnjes 0 - 6 vjec Vlore,,unknown - not seen in KPP
INST-0976,Shtepia e Foshnjes Durres,,unknown - not seen in KPP
INST-0977,Shtepia e Foshnjes Tirane,,unknown - not seen in KPP
INST-0978,Shtepia e Pushimit MB Durres,,unknown - not seen in KPP
INST-0979,Shtepia e femijeve 0 – 5 vjec Shkoder,K56704013H,kpp_appeal.ak_nipt (name-matched)
INST-0980,Shtepia e te Moshuarve Fier,,unknown - not seen in KPP
INST-0981,Shtepia e te Moshuarve Gjirokaster,K43128646W,kpp_appeal.ak_nipt (name-matched)
INST-0982,Shtepia e te Moshuarve Kavaje,K52903820I,kpp_appeal.ak_nipt (name-matched)
INST-0983,Shtepia e te Moshuarve Shkoder,,unknown - not seen in KPP
INST-0984,Shtepia e te Moshuarve Tirane,,unknown - not seen in KPP
INST-0985,Shtypshkronja e Letrave me Vlere,J61827076U,kpp_appeal.ak_nipt (name-matched)
INST-0986,Spitali Fier,K52906424I,kpp_appeal.ak_nipt (name-matched)
INST-0987,Spitali Obsetrik Gjinekologjik Mbreteresha Geraldine,,unknown - not seen in KPP
INST-0988,Spitali Obstetrik Gjinekologjik Koco Gliozheni,,unknown - not seen in KPP
INST-0989,Spitali Psikiatrik Ali Mihali Vlore,K56703227H,kpp_appeal.ak_nipt (name-matched)
INST-0990,Spitali Psikiatrik Sadik Dinci Elbasan,,unknown - not seen in KPP
INST-0991,Spitali Rajonal “Memorial” Fier,M12801531P,kpp_appeal.ak_nipt (name-matched)
INST-0992,Spitali Sarande,K94327991U,kpp_appeal.ak_nipt (name-matched)
INST-0993,Spitali Universitar i Traumes,L31322455E,kpp_appeal.ak_nipt (name-matched)
INST-0994,Sport Klub Bulqiza,,unknown - not seen in KPP
INST-0995,Teatri Kombetar,,unknown - not seen in KPP
INST-0996,Teatri Kombetar Eksperimental Kujtim Spahivogli,,unknown - not seen in KPP
INST-0997,"Teatri Kombetar i Operas, Baletit dhe Ansamblit Popullor",,unknown - not seen in KPP
INST-0998,Teatri Petro Marko Vlore,,unknown - not seen in KPP
INST-0999,Teda Tirane Shpk,,unknown - not seen in KPP
INST-1000,Termocentrali Vlore sh.a,K72422003G,kpp_appeal.ak_nipt (name-matched)
INST-1001,Tirana Agrikulture,,unknown - not seen in KPP
INST-1002,Tirana Parking,L52403451V,kpp_appeal.ak_nipt (name-matched)
INST-1003,Tregu i Shitjes me Shumice Fruta - Perime Korce,,unknown - not seen in KPP
INST-1004,Ujesjelles-Kanalizime Kamez Sh.a,L72320034A,kpp_appeal.ak_nipt (name-matched)
INST-1005,Universiteti Aleksander Moisiu Durres,K61829504T,kpp_appeal.ak_nipt (name-matched)
INST-1006,Universiteti Aleksander Xhuvani Elbasan,K52905217I,kpp_appeal.ak_nipt (name-matched)
INST-1007,Universiteti Bujqesor Tirane,J61915028N,kpp_appeal.ak_nipt (name-matched)
INST-1008,Universiteti Eqrem Çabej Gjirokaster,,unknown - not seen in KPP
INST-1009,Universiteti Fan Noli Korce,K43926003R,kpp_appeal.ak_nipt (name-matched)
INST-1010,Universiteti Ismail Qemali Vlore,K56703246N,kpp_appeal.ak_nipt (name-matched)
INST-1011,Universiteti Luigj Gurakuqi Shkoder,,unknown - not seen in KPP
INST-1012,Universiteti Politeknik Tirane,,unknown - not seen in KPP
INST-1013,Universiteti i Arteve,K51713024L,kpp_appeal.ak_nipt (name-matched)
INST-1014,Universiteti i Mjekesise Tirane,L31512451U,kpp_appeal.ak_nipt (name-matched)
INST-1015,Universiteti i Sporteve te Tiranes (ish A.E.F.S Vojo Kushi),K51712019Q,kpp_appeal.ak_nipt (name-matched)
INST-1016,Universiteti i Tiranes,J61915033D,kpp_appeal.ak_nipt (name-matched)
INST-1017,Vlora Invest Shpk,,unknown - not seen in KPP
INST-1018,Vlora Parking ShA,,unknown - not seen in KPP
INST-1019,Zyra Arsimore Sarande,,unknown - not seen in KPP
INST-1020,Zyra Ekonomike e Arsimit Sarande,,unknown - not seen in KPP
INST-1021,Zyra Permbarimore Vendore Durrës,,unknown - not seen in KPP
INST-1022,Zyra Permbarimore Vendore Elbasan,,unknown - not seen in KPP
INST-1023,Zyra Rajonale e Sherbimit Social Shteteror  Vlore,,unknown - not seen in KPP
INST-1024,Zyra Rajonale e Sherbimit Social Shteteror Berat,,unknown - not seen in KPP
INST-1025,Zyra Rajonale e Sherbimit Social Shteteror Durres,,unknown - not seen in KPP
INST-1026,Zyra Rajonale e Sherbimit Social Shteteror Elbasan,,unknown - not seen in KPP
INST-1027,Zyra Rajonale e Sherbimit Social Shteteror Fier,,unknown - not seen in KPP
INST-1028,Zyra Rajonale e Sherbimit Social Shteteror Korce,,unknown - not seen in KPP
INST-1029,Zyra Rajonale e Sherbimit Social Shteteror Kukes,,unknown - not seen in KPP
INST-1030,Zyra Rajonale e Sherbimit Social Shteteror Tirane,,unknown - not seen in KPP
INST-1031,Zyra Vendore Arsimore Bulqize,,unknown - not seen in KPP
INST-1032,Zyra Vendore Arsimore Fier,,unknown - not seen in KPP
INST-1033,Zyra Vendore e Sherbimit Kombetar te Punesimit Vlore,,unknown - not seen in KPP
INST-1034,Zyra e Administrimit të Parkut Kombëtar “Lumi i Vjosës”,,unknown - not seen in KPP
INST-1035,Zyra e Prokurorit te Pergjithshem,J62410014F,kpp_appeal.ak_nipt (name-matched)
