kodi_institucioni,emertimi
INST-0294,Drejtoria Rajonale e Tatimeve Korce
INST-0295,Drejtoria Rajonale e Tatimeve Kukes
INST-0296,Drejtoria Rajonale e Trashegimise Kulturore Gjirokaster
INST-0297,Drejtoria Rajonale e Trashegimise Kulturore Korçe
INST-0298,Drejtoria Rajonale e Trashegimise Kulturore Shkoder
INST-0299,Drejtoria Rajonale e Trashegimise Kulturore Tirane
INST-0300,Drejtoria Rajonale e Trashegimise Kulturore Vlore
INST-0301,Drejtoria SHISH Fier
INST-0302,Drejtoria Vendore ASHK-se Tirana Jug
INST-0303,Drejtoria Vendore ASHK-se Tirana Veri
INST-0304,Drejtoria Vendore Zonat e Stimuluara
INST-0305,Drejtoria Vendore e ASHK-se Elbasan
INST-0306,Drejtoria Vendore e ASHK-se Fier
INST-0307,Drejtoria Vendore e ASHK-se Lezhe
INST-0308,Drejtoria Vendore e ASHK-se Lushnje
INST-0309,Drejtoria Vendore e ASHK-se Shkoder
INST-0310,Drejtoria Vendore e ASHK-se Tirane Rurale 1
INST-0311,Drejtoria Vendore e ASHK-se Tirane Rurale 2
INST-0312,Drejtoria Vendore e ASHK-se Vlore
INST-0313,Drejtoria e Administrimit te Paketave Shendetesore dhe Ekzaminimeve Terciale
INST-0314,Drejtoria e Antiterrorit
INST-0315,Drejtoria e Arkivit Qendror te Sigurimeve Shoqerore
INST-0316,Drejtoria e Artit dhe Kultures Fier
INST-0317,Drejtoria e Bujqesise Administrimit te Pyjeve Ujrave e Sherbimit Veterinar Berat
INST-0318,Drejtoria e Forces se Posaçme Operacionale
INST-0319,Drejtoria e Konvikteve te Shkollave te Mesme
INST-0320,Drejtoria e Ndihmes Juridike Falas
INST-0321,Drejtoria e Pergjithshme Detare
INST-0322,Drejtoria e Pergjithshme e Agjencise Shteterore e Kadastres
INST-0323,Drejtoria e Pergjithshme e Akreditimit
INST-0324,Drejtoria e Pergjithshme e Antikorrupsionit
INST-0325,Drejtoria e Pergjithshme e Arkivave te Shtetit
INST-0326,Drejtoria e Pergjithshme e Burgjeve
INST-0327,Drejtoria e Pergjithshme e Doganave
INST-0328,Drejtoria e Pergjithshme e Kopshtit Zoologjik
INST-0329,Drejtoria e Pergjithshme e Metrologjise dhe Kalibrimit
INST-0330,Drejtoria e Pergjithshme e Mirembajtjes se Objekteve Publike
INST-0331,Drejtoria e Pergjithshme e Objekteve Publike Tirane
INST-0332,Drejtoria e Pergjithshme e Pastrimit dhe Gjelberimit Tirane
INST-0333,Drejtoria e Pergjithshme e Permbarimit
INST-0334,Drejtoria e Pergjithshme e Policise se Shtetit
INST-0335,Drejtoria e Pergjithshme e Pronesise Industriale
INST-0336,Drejtoria e Pergjithshme e RTSH
INST-0337,Drejtoria e Pergjithshme e Rrugeve dhe Ndriçimit Publik Tirane
INST-0338,Drejtoria e Pergjithshme e Sherbimeve te Transportit Rrugor Tirane
INST-0339,Drejtoria e Pergjithshme e Standartizimeve
INST-0340,Drejtoria e Pergjithshme e Taksave dhe e Tarifave Vendore Tirane
INST-0341,Drejtoria e Pergjithshme e Tatimeve
INST-0342,Drejtoria e Pergjithshme e Çerdheve dhe Kopshteve Tirane
INST-0343,Drejtoria e Pergjithshme per Kufirin dhe Migracionin
INST-0344,Drejtoria e Policise Qarkut Korce
INST-0345,Drejtoria e Policise Qarkut Lezhe
INST-0346,Drejtoria e Policise Qarkut Tirane
INST-0347,Drejtoria e Përgjithshme e Arsimit Parauniversitar Bashkia Elbasan
INST-0348,Drejtoria e Përgjithshme e Kulturës dhe Sportit
INST-0349,Drejtoria e Rajonit Jugor Gjirokaster
INST-0350,Drejtoria e Rajonit Qender Perendim (Tirane)
INST-0351,Drejtoria e SHISH Kukes
INST-0352,Drejtoria e SHISH Shkoder
INST-0353,Drejtoria e Shendetit Publik Bulqize
INST-0354,Drejtoria e Shendetit Publik Delvine
INST-0355,Drejtoria e Shendetit Publik Diber
INST-0356,Drejtoria e Shendetit Publik Gjirokaster
INST-0357,Drejtoria e Shendetit Publik Kolonje
INST-0358,Drejtoria e Shendetit Publik Kruje
INST-0359,Drejtoria e Shendetit Publik Mirdite
INST-0360,Drejtoria e Shendetit Publik Pogradec
INST-0361,Drejtoria e Shendetit Publik Sarande
INST-0362,Drejtoria e Shendetit Publik Skrapar
INST-0363,Drejtoria e Shendetit Publik Vlore
INST-0364,Drejtoria e Sherbimeve Qeveritare
INST-0365,Drejtoria e Sherbimeve te Peshkimit dhe Akuakultures Tirane
INST-0366,Drejtoria e Sherbimit Memaliaj
INST-0367,Drejtoria e Sherbimit Spitalor Bulqize
INST-0368,Drejtoria e Sherbimit Spitalor Delvine
INST-0369,Drejtoria e Sherbimit Spitalor Devoll
INST-0370,Drejtoria e Sherbimit Spitalor Gramsh
INST-0371,Drejtoria e Sherbimit Spitalor Has
INST-0372,Drejtoria e Sherbimit Spitalor Kolonje
INST-0373,Drejtoria e Sherbimit Spitalor Korce
INST-0374,Drejtoria e Sherbimit Spitalor Kruje
INST-0375,Drejtoria e Sherbimit Spitalor Kukes
INST-0376,Drejtoria e Sherbimit Spitalor Kurbin
INST-0377,Drejtoria e Sherbimit Spitalor Librazhd
INST-0378,Drejtoria e Sherbimit Spitalor Malesi e Madhe
INST-0379,Drejtoria e Sherbimit Spitalor Mallakaster
INST-0380,Drejtoria e Sherbimit Spitalor Mat
INST-0381,Drejtoria e Sherbimit Spitalor Mirdite
INST-0382,Drejtoria e Sherbimit Spitalor Peqin
INST-0383,Drejtoria e Sherbimit Spitalor Permet
INST-0384,Drejtoria e Sherbimit Spitalor Pogradec
INST-0385,Drejtoria e Sherbimit Spitalor Puke
INST-0386,Drejtoria e Sherbimit Spitalor Skrapar
INST-0387,Drejtoria e Sherbimit Spitalor Tepelene
INST-0388,Drejtoria e Sherbimit Spitalor Tropoje
INST-0389,Drejtoria e Sherbimit te Mbrojtjes nga Zjarri dhe Shpetimit Shkoder
INST-0390,Drejtoria e Spitalit Rajonal Diber
INST-0391,Drejtoria e Spitalit Rajonal Durres
INST-0392,Drejtoria e Spitalit Rajonal Gjirokaster
INST-0393,Drejtoria e Spitalit Rajonal Lezhe
INST-0394,Drejtoria e Spitalit Rajonal Shkoder
INST-0395,Drejtoria e Spitalit Rajonal Vlore
INST-0396,Drejtoria e Spitalit “Ihsan Çabej” Lushnje
INST-0397,Drejtoria e Targave dhe Shtypshkrimeve Durres
INST-0398,Drejtoria e Tensionit te Larte OSSH sh.a
INST-0399,Drejtoria e Ujitjes dhe Kullimit Durres
INST-0400,Drejtoria e Ujitjes dhe Kullimit Fier
INST-0401,Drejtoria e Ujitjes dhe Kullimit Korce
INST-0402,Drejtoria e Ujitjes dhe Kullimit Lezhe
INST-0403,Drejtoria e Verifikimit dhe Koordinimit ne Terren Rajoni Jugor
INST-0404,ECO Tirana
INST-0405,ECO-ELB sh.a
INST-0406,Enti Kombetar i Banesave Tirane
INST-0407,Enti Rregullator i Energjise
INST-0408,Enti Rregullator i Ujit
INST-0409,Enti Shteteror i Farerave dhe Fidaneve
INST-0410,FK Tomori 1923
INST-0411,FONDACIONI “DURRAH CITY FOOTBALL ACADEMY”
INST-0412,Fakulteti i Bujqësisë dhe Mjedisit Tiranë
INST-0413,Fakulteti i Drejtesise
INST-0414,Fakulteti i Gjuheve te Huaja
INST-0415,Fakulteti i Historise dhe Filologjise
INST-0416,Fakulteti i Mjekesise Tirane
INST-0417,Fakulteti i Shkencave Mjekesore Teknike Tirane
INST-0418,Fakulteti i Shkencave Sociale
INST-0419,Fakulteti i Shkencave te Natyres
INST-0420,Federata Shqiptare e Atletikes
INST-0421,Federata Shqiptare e Boksit
INST-0422,Federata Shqiptare e Qitjes Sportive
INST-0423,Fondacioni Akademia  e Futbollit Luftetari
INST-0424,Fondi Shqiptar i Zhvillimit
INST-0425,Fondi i Sigurimit te Detyrueshem  te Kujdesit Shendetesor Tirane
INST-0426,Galeria Kombetare e Arteve
INST-0427,Galeria e Artit Tiranë
INST-0428,Garda e Republikes
INST-0429,Gjykata Administrative e Apelit Tirane
INST-0430,Gjykata Administrative e Shkalles se Pare Tirane
INST-0431,Gjykata Administrative e Shkallës së Parë Lushnje
INST-0432,Gjykata Kushtetuese
INST-0433,Gjykata e Apelit Tirane
INST-0434,Gjykata e Larte
INST-0435,Gjykata e Posaçme e Apelit per Korrupsionin dhe Krimin e Organizuar
INST-0436,Gjykata e Posaçme e Shkalles se Pare per Korrupsionin dhe Krimin e Organizuar
INST-0437,Gjykata e Rrethit Gjyqesor Berat
INST-0438,Gjykata e Rrethit Gjyqesor Durres
INST-0439,Gjykata e Rrethit Gjyqesor Elbasan
INST-0440,Gjykata e Rrethit Gjyqesor Fier
